genes,name,ExonLength,chr,chr_start,chr_end,WT_1_log2(cpm),WT_2_log2(cpm),DKO_1_log2(cpm),DKO_2_log2(cpm),logFC_1*WT -1*DKO,logCPM_1*WT -1*DKO,LR_1*WT -1*DKO,PValue_1*WT -1*DKO,FDR_1*WT -1*DKO
Rell1,RELT-like 1,3863,5,63908895,63968905,5.062,5.134,4.818,5.155,0.102,5.05,0.319,0.572209811,0.889360234
Serinc3,serine incorporator 3,3840,2,163623271,163645131,11.567,11.68,11.546,11.887,-0.102,11.677,0.319,0.572236493,0.889360234
Tbc1d17,"TBC1 domain family, member 17",3448,7,44840900,44849079,5.874,5.549,5.452,5.754,0.109,5.668,0.319,0.572264104,0.889360234
Tmem30a,transmembrane protein 30A,5646,9,79768942,79793507,7.594,7.684,7.427,7.662,0.091,7.595,0.32,0.57179192,0.889360234
Ubtf,"upstream binding transcription factor, RNA polymerase I",6552,11,102304559,102319742,7.46,7.257,7.47,7.428,-0.087,7.406,0.318,0.572714438,0.889360234
Qrsl1,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1,3442,10,43874187,43901745,4.433,4.185,4.327,4.509,-0.107,4.371,0.318,0.572979954,0.88936978
Sik1,salt inducible kinase 1,4511,17,31844247,31855792,4.885,6.13,5.696,6.136,-0.295,5.794,0.318,0.572984103,0.88936978
Dnajc24,DnaJ heat shock protein family (Hsp40) member C24,1369,2,105966708,106003549,3.648,3.267,3.508,3.674,-0.124,3.537,0.316,0.574196121,0.889823741
Heg1,heart development protein with EGF-like domains 1,12632,16,33684465,33771576,6.615,6.577,6.699,6.25,0.105,6.545,0.315,0.574371166,0.889823741
Klhl12,kelch-like 12,6555,1,134455530,134491018,4.228,4.54,4.489,4.509,-0.106,4.449,0.315,0.574379203,0.889823741
Lcmt1,leucine carboxyl methyltransferase 1,1369,7,123377981,123430358,4.36,4.311,4.258,4.219,0.097,4.29,0.316,0.573756325,0.889823741
Mon1a,"MON1 homolog A, secretory traffciking associated",2081,9,107888128,107903125,3.892,3.668,3.556,3.775,0.115,3.732,0.316,0.574122379,0.889823741
Oasl2,2'-5' oligoadenylate synthetase-like 2,3879,5,114896935,114912234,2.679,3.267,2.793,3.5,-0.187,3.106,0.316,0.573752189,0.889823741
Park7,"Parkinson disease (autosomal recessive, early onset) 7",2479,4,150897132,150914437,7.097,7.022,7.002,6.955,0.081,7.02,0.316,0.574152466,0.889823741
Pfdn6,prefoldin subunit 6,1193,17,33938820,33940343,5.332,5.347,5.303,5.201,0.086,5.298,0.316,0.573985962,0.889823741
Ppcdc,phosphopantothenoylcysteine decarboxylase,2747,9,57412667,57440114,3.668,3.859,3.797,3.951,-0.11,3.826,0.316,0.57410311,0.889823741
Ppib,peptidylprolyl isomerase B,960,9,66060168,66066629,8.464,8.462,8.374,8.386,0.083,8.422,0.317,0.573421034,0.889823741
Rnf166,ring finger protein 166,1985,8,122466146,122476064,3.748,3.657,3.581,3.613,0.106,3.655,0.316,0.573927721,0.889823741
Zfp68,zinc finger protein 68,3834,5,138604615,138619761,5.298,5.479,5.345,5.622,-0.099,5.443,0.316,0.574121667,0.889823741
Gpsm3,"G-protein signalling modulator 3 (AGS3-like, C. elegans)",1343,17,34589805,34591754,6.468,6.301,6.286,6.324,0.082,6.347,0.315,0.57466413,0.890062999
Snrnp40,small nuclear ribonucleoprotein 40 (U5),3987,4,130360131,130390026,6.591,6.374,6.656,6.487,-0.088,6.532,0.315,0.574717465,0.890062999
Snx18,sorting nexin 18,4446,13,113592179,113618564,6.322,6.427,6.228,6.703,-0.11,6.432,0.314,0.575087791,0.890494111
Acd,adrenocortical dysplasia,1425,8,105698158,105701095,5.67,5.484,5.726,5.611,-0.09,5.626,0.314,0.57542652,0.890591405
Fcrl5,Fc receptor-like 5,1812,3,87435884,87457836,7.406,7.395,7.31,7.664,-0.097,7.451,0.314,0.575398716,0.890591405
Pik3r5,"phosphoinositide-3-kinase, regulatory subunit 5, p101",5550,11,68432120,68497849,4.937,4.934,4.802,4.891,0.088,4.894,0.314,0.575334918,0.890591405
Ankzf1,ankyrin repeat and zinc finger domain containing 1,5142,1,75192150,75199387,3.699,3.344,3.764,3.538,-0.123,3.599,0.31,0.577944312,0.890594119
Cap1,"CAP, adenylate cyclase-associated protein 1 (yeast)",3494,4,122859046,122886056,9.312,9.203,9.168,9.181,0.084,9.217,0.309,0.578019786,0.890594119
Capzb,"capping protein (actin filament) muscle Z-line, beta",3299,4,139192898,139291818,9.522,9.43,9.639,9.485,-0.087,9.521,0.309,0.57818724,0.890594119
Ccnb2,cyclin B2,1541,9,70407688,70421554,5.259,5.387,5.518,4.617,0.188,5.235,0.311,0.576832179,0.890594119
Cfdp1,craniofacial development protein 1,1215,8,111768472,111854310,6.538,6.492,6.586,6.597,-0.076,6.554,0.312,0.576377307,0.890594119
Chrac1,chromatin accessibility complex 1,2353,15,73090391,73097554,5.592,5.241,5.493,5.56,-0.1,5.479,0.311,0.576774078,0.890594119
Cox15,cytochrome c oxidase assembly protein 15,4909,19,43733253,43753000,5.451,5.401,5.518,5.502,-0.084,5.47,0.312,0.576284089,0.890594119
Cpeb2,cytoplasmic polyadenylation element binding protein 2,7122,5,43233462,43289724,3.823,4.203,3.804,4.002,0.12,3.971,0.31,0.577709202,0.890594119
Kiz,kizuna centrosomal protein,2278,2,146855863,146970097,3.628,3.845,3.508,3.736,0.114,3.689,0.31,0.577660228,0.890594119
Mak16,MAK16 homolog,1857,8,31159467,31168724,5.037,5.227,5.214,5.236,-0.09,5.182,0.313,0.575800329,0.890594119
Mark4,MAP/microtubule affinity regulating kinase 4,2259,7,19426074,19458494,3.687,3.222,3.654,3.546,-0.128,3.542,0.31,0.577974049,0.890594119
Mdm1,transformed mouse 3T3 cell double minute 1,3149,10,118141786,118168997,2.777,2.774,2.814,2.467,0.126,2.721,0.312,0.576481903,0.890594119
Med25,mediator complex subunit 25,2297,7,44879390,44892397,5.011,4.622,5.07,4.804,-0.113,4.889,0.31,0.577787066,0.890594119
Mrps23,mitochondrial ribosomal protein S23,1560,11,88204387,88211507,6.389,6.302,6.458,6.391,-0.079,6.387,0.313,0.575947948,0.890594119
Ndufb4,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 4,1170,16,37647169,37654453,2.672,2.436,2.332,2.525,0.126,2.505,0.313,0.575662007,0.890594119
Nup93,nucleoporin 93,2882,8,94214596,94315066,5.899,5.919,6.147,5.841,-0.093,5.957,0.31,0.577854977,0.890594119
Pds5a,PDS5 cohesin associated factor A,4146,5,65615259,65697856,6.218,6.541,6.647,6.323,-0.105,6.443,0.31,0.577627884,0.890594119
Pla2g6,"phospholipase A2, group VI",4980,15,79286227,79328390,2.82,2.788,3.018,2.816,-0.117,2.87,0.313,0.575887626,0.890594119
Pms1,postmeiotic segregation increased 1 (S. cerevisiae),6103,1,53189186,53297018,3.315,3.19,3.399,3.327,-0.11,3.315,0.312,0.576200909,0.890594119
Polq,"polymerase (DNA directed), theta",9685,16,37011785,37095417,2.444,2.855,2.786,2.151,0.164,2.594,0.31,0.577615765,0.890594119
S100a11,S100 calcium binding protein A11,511,3,93520487,93526287,6.676,6.66,6.275,6.79,0.113,6.614,0.31,0.577627424,0.890594119
Slc35e3,"solute carrier family 35, member E3",3482,10,117733678,117746358,5.336,5.253,5.35,5.411,-0.086,5.34,0.311,0.57728283,0.890594119
Tab2,TGF-beta activated kinase 1/MAP3K7 binding protein 2,6135,10,7905652,7956230,6.95,7.095,7.088,7.127,-0.083,7.067,0.312,0.576419987,0.890594119
Tmem259,transmembrane protein 259,4663,10,79974947,79984330,6.225,6.016,6.05,6.03,0.085,6.083,0.31,0.577505232,0.890594119
Usp18,ubiquitin specific peptidase 18,1770,6,121245905,121270916,2.55,2.788,2.037,2.849,0.174,2.598,0.312,0.576446162,0.890594119
Vezt,"vezatin, adherens junctions transmembrane protein",20631,10,93939164,94035817,3.672,3.672,3.495,3.633,0.106,3.624,0.31,0.577658088,0.890594119
Yipf4,"Yip1 domain family, member 4",2133,17,74489492,74500277,5.955,6.095,5.76,6.083,0.096,5.98,0.311,0.577114621,0.890594119
Zbtb17,zinc finger and BTB domain containing 17,3877,4,141444653,141467930,4.295,4.009,4.314,4.216,-0.107,4.216,0.31,0.577433005,0.890594119
Zc3hav1,"zinc finger CCCH type, antiviral 1",6518,6,38305285,38354603,7.418,7.434,7.661,7.36,-0.092,7.473,0.309,0.578174823,0.890594119
Zfp46,zinc finger protein 46,5212,4,136284682,136293942,4.053,4.526,4.364,4.494,-0.121,4.373,0.312,0.576173218,0.890594119
Trub2,TruB pseudouridine (psi) synthase homolog 2 (E. coli),6316,2,29761223,29788502,4.293,3.957,4.219,4.269,-0.11,4.193,0.309,0.578532133,0.890983647
Actl6a,actin-like 6A,2764,3,32708545,32726968,5.903,5.881,5.957,5.612,0.097,5.845,0.308,0.579151255,0.890994554
Dnajc21,DnaJ heat shock protein family (Hsp40) member C21,4777,15,10446755,10470516,4.491,4.46,4.373,4.392,0.093,4.432,0.308,0.5790018,0.890994554
Fbxl20,F-box and leucine-rich repeat protein 20,12106,11,98082555,98150403,5.15,5.48,5.27,5.581,-0.109,5.382,0.308,0.578854193,0.890994554
Lsm14a,LSM14A mRNA processing body assembly factor,3104,7,34344645,34389540,7.307,7.435,7.308,7.273,0.082,7.332,0.308,0.579090313,0.890994554
Ptbp1,polypyrimidine tract binding protein 1,4740,10,79854426,79864771,7.522,7.546,7.789,7.45,-0.096,7.583,0.308,0.579183263,0.890994554
Rpl18a,ribosomal protein L18A,1291,8,70894721,70897443,10.732,10.575,10.626,10.864,-0.094,10.703,0.308,0.579105034,0.890994554
Stx17,syntaxin 17,5935,4,48124914,48186507,4.035,4.177,4.102,4.315,-0.105,4.164,0.308,0.578956536,0.890994554
Msrb1,methionine sulfoxide reductase B1,1258,17,24736641,24742778,5.443,5.567,5.64,5.544,-0.086,5.551,0.307,0.579438115,0.891105018
Polr2i,polymerase (RNA) II (DNA directed) polypeptide I,1212,7,30231947,30233390,4.469,4.306,4.269,4.315,0.098,4.344,0.307,0.57954157,0.891105018
Sec61g,"SEC61, gamma subunit",2464,11,16500529,16508484,3.762,3.997,3.807,3.747,0.108,3.835,0.307,0.579623142,0.891105018
Shisa5,shisa family member 5,3204,9,109038564,109057724,10.364,10.302,10.358,10.477,-0.085,10.377,0.307,0.579565314,0.891105018
Gxylt1,glucoside xylosyltransferase 1,6704,15,93239741,93275161,5.639,5.856,5.72,5.964,-0.095,5.801,0.306,0.579975367,0.891429803
Ttc28,tetratricopeptide repeat domain 28,12315,5,110879802,111289780,2.784,2.579,2.681,2.432,0.124,2.632,0.306,0.58006183,0.891429803
Zfr,zinc finger RNA binding protein,5911,15,12117830,12185683,6.315,6.542,6.453,6.581,-0.085,6.477,0.306,0.580110555,0.891429803
Alkbh5,"alkB homolog 5, RNA demethylase",5987,11,60536380,60558512,6.907,7.194,7.083,7.213,-0.092,7.105,0.306,0.580303846,0.891585347
Ptms,parathymosin,1554,6,124913680,124917946,6.914,6.712,6.732,6.735,0.083,6.776,0.305,0.580632965,0.891949497
Agps,alkylglycerone phosphate synthase,9421,2,75832176,75931350,6.224,6.353,6.255,6.164,0.08,6.251,0.305,0.580904405,0.892169459
Creb3,cAMP responsive element binding protein 3,2372,4,43562331,43567060,5.488,5.379,5.322,5.377,0.085,5.394,0.305,0.581052538,0.892169459
Tmem186,transmembrane protein 186,2736,16,8633883,8637712,4.614,4.429,4.504,4.738,-0.101,4.578,0.305,0.58102383,0.892169459
Rnf5,ring finger protein 5,1483,17,34601090,34603690,4.815,4.855,4.677,4.811,0.09,4.793,0.304,0.581194596,0.892246111
Cct6a,"chaperonin containing Tcp1, subunit 6a (zeta)",1599,5,129787438,129845820,6.956,7.012,7.044,6.72,0.093,6.939,0.304,0.581395288,0.892272542
Idnk,idnK gluconokinase homolog (E. coli),1511,13,58157648,58164693,5.064,4.983,5.059,5.16,-0.087,5.07,0.304,0.581396091,0.892272542
Cebpz,CCAAT/enhancer binding protein zeta,4074,17,78919005,78937070,6.111,5.866,5.941,5.869,0.088,5.951,0.302,0.582323756,0.893130069
Ddx31,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 31,3534,2,28840405,28905571,4.166,4.254,4.327,4.286,-0.096,4.262,0.303,0.582319347,0.893130069
Fbxo30,F-box protein 30,5197,10,11281329,11298052,3.041,3.611,2.968,3.401,0.154,3.285,0.303,0.582238018,0.893130069
Ireb2,iron responsive element binding protein 2,5808,9,54863754,54912534,6.016,6.29,6.336,6.16,-0.091,6.206,0.303,0.582285618,0.893130069
Cwc27,CWC27 spliceosome-associated protein,2873,13,104631139,104817142,4.103,4.206,4.067,4.049,0.098,4.11,0.302,0.582444633,0.893174002
Atg9a,autophagy related 9A,5762,1,75180859,75192196,3.579,3.68,3.606,3.436,0.108,3.582,0.302,0.582664378,0.893369512
Fam134b,"family with sequence similarity 134, member B",3346,15,25843263,25973687,6.425,6.628,6.344,6.537,0.086,6.488,0.302,0.582824018,0.893472818
Mtmr4,myotubularin related protein 4,6240,11,87592161,87616302,6.39,6.437,6.506,6.473,-0.076,6.453,0.301,0.582960485,0.893540573
Usp32,ubiquitin specific peptidase 32,7680,11,84984441,85140161,5.29,5.541,5.124,5.483,0.106,5.37,0.301,0.58316991,0.893720115
Cby1,chibby homolog 1 (Drosophila),1119,15,79659226,79667660,3.652,3.509,3.495,3.458,0.106,3.535,0.301,0.58356432,0.89390017
Fam69a,"family with sequence similarity 69, member A",2892,5,107908052,107987085,6.062,6.16,5.923,6.124,0.084,6.071,0.301,0.58353359,0.89390017
Rrp9,"RRP9, small subunit (SSU) processome component, homolog (yeast)",2788,9,106475962,106485424,5.083,4.85,5.029,4.68,0.107,4.921,0.301,0.583510589,0.89390017
Stard7,START domain containing 7,5567,2,127270217,127298932,6.982,6.981,7.137,6.985,-0.082,7.023,0.3,0.583830825,0.894166963
Abcf1,"ATP-binding cassette, sub-family F (GCN20), member 1",4410,17,35956818,35969761,6.827,6.629,6.897,6.731,-0.085,6.775,0.298,0.584868877,0.894342367
Cdc123,cell division cycle 123,3463,2,5794293,5845164,6.159,6.147,6.116,6.035,0.077,6.116,0.299,0.584615967,0.894342367
Ippk,"inositol 1,3,4,5,6-pentakisphosphate 2-kinase",2776,13,49421310,49462990,3.3,3.505,3.399,3.177,0.115,3.355,0.299,0.58431215,0.894342367
Klf16,Kruppel-like factor 16,2674,10,80567123,80577321,5.211,5.356,5.114,5.274,0.089,5.243,0.3,0.584074729,0.894342367
Mcts1,malignant T cell amplified sequence 1,1571,X,38600577,38613426,5.217,5.234,5.371,5.248,-0.085,5.27,0.298,0.584828092,0.894342367
Otud5,OTU domain containing 5,5200,X,7841363,7876626,6.692,6.506,6.704,6.66,-0.08,6.643,0.299,0.584647747,0.894342367
Snx30,sorting nexin family member 30,7795,4,59805839,59904737,6.546,6.691,6.474,6.604,0.08,6.581,0.298,0.584865786,0.894342367
Tdg,thymine DNA glycosylase,5374,10,82629827,82650799,3.841,4.09,4.322,3.836,-0.128,4.039,0.299,0.584575851,0.894342367
Trip4,thyroid hormone receptor interactor 4,8394,9,65828929,65908794,5.324,5.401,5.437,5.456,-0.083,5.406,0.3,0.584167376,0.894342367
Zfyve21,"zinc finger, FYVE domain containing 21",1310,12,111814169,111828388,3.912,3.518,3.662,4.028,-0.129,3.797,0.299,0.584649705,0.894342367
Lta,lymphotoxin A,1383,17,35203164,35205351,3.875,3.784,3.654,4.214,-0.131,3.901,0.298,0.585369944,0.89438971
Nelfb,negative elongation factor complex member B,3432,2,25199711,25211489,6.672,6.602,6.74,6.687,-0.076,6.677,0.298,0.585189922,0.89438971
Rock1,Rho-associated coiled-coil containing protein kinase 1,6187,18,10064400,10181792,6.43,6.515,6.458,6.643,-0.08,6.514,0.298,0.585348964,0.89438971
Sc5d,sterol-C5-desaturase,2328,9,42254176,42264300,4.992,5.098,4.951,4.97,0.086,5.006,0.298,0.585313086,0.89438971
Sde2,SDE2 telomere maintenance homolog (S. pombe),3173,1,180851150,180868097,5.494,5.689,5.695,5.667,-0.087,5.639,0.298,0.585192533,0.89438971
Ssbp4,single stranded DNA binding protein 4,1474,8,70597490,70608314,5.112,4.754,5.149,4.941,-0.105,4.999,0.297,0.585453983,0.89438971
Jmjd6,jumonji domain containing 6,4698,11,116837431,116843449,4.458,4.832,4.679,4.394,0.114,4.603,0.296,0.586502509,0.894827578
Kansl2,KAT8 regulatory NSL complex subunit 2,2417,15,98518820,98534244,4.879,4.787,4.853,4.617,0.094,4.789,0.297,0.586043683,0.894827578
Mtrf1l,mitochondrial translational release factor 1-like,3261,10,5811886,5823910,2.695,3.471,2.987,2.963,0.16,3.064,0.296,0.586128651,0.894827578
Nacc1,"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing",4300,8,84670482,84687862,6.773,6.639,6.878,6.696,-0.083,6.75,0.296,0.586693451,0.894827578
Nfyb,nuclear transcription factor-Y beta,5068,10,82748700,82764144,5.436,5.471,5.544,5.526,-0.082,5.496,0.296,0.586504321,0.894827578
Npat,nuclear protein in the AT region,6248,9,53537046,53574342,4.61,4.702,4.731,4.759,-0.088,4.703,0.295,0.586749215,0.894827578
Rbmx,"RNA binding motif protein, X chromosome",4330,X,57383529,57393036,5.362,5.428,5.407,5.201,0.088,5.353,0.297,0.586050817,0.894827578
Sf3b6,"splicing factor 3B, subunit 6",1115,12,4817607,4827658,6.756,6.664,6.681,6.583,0.077,6.673,0.295,0.586757035,0.894827578
Tab1,TGF-beta activated kinase 1/MAP3K7 binding protein 1,2931,15,80133153,80161701,4.228,3.777,4.175,4.099,-0.118,4.083,0.297,0.585945507,0.894827578
Timm44,translocase of inner mitochondrial membrane 44,3664,8,4259730,4275913,5.4,5.142,5.468,5.27,-0.096,5.327,0.296,0.586332474,0.894827578
Txndc5,thioredoxin domain containing 5,4298,13,38500272,38528824,9.752,9.758,9.411,9.854,0.105,9.703,0.296,0.586439395,0.894827578
Ctnnb1,"catenin (cadherin associated protein), beta 1",5099,9,120929215,120960507,7.99,8.12,8.019,7.928,0.083,8.016,0.295,0.586930329,0.894950922
Arntl,aryl hydrocarbon receptor nuclear translocator-like,2904,7,113207464,113314122,4.565,4.356,4.364,4.371,0.097,4.419,0.295,0.587171383,0.894979734
Ccdc107,coiled-coil domain containing 107,1547,4,43492899,43495921,4.28,4.03,4.043,4.071,0.103,4.112,0.295,0.587350127,0.894979734
Ccdc58,coiled-coil domain containing 58,1225,16,36071659,36092118,3.74,3.878,3.821,3.574,0.109,3.761,0.294,0.587368194,0.894979734
Mettl13,methyltransferase like 13,8464,1,162532126,162548551,4.089,4.123,3.975,4.043,0.097,4.061,0.294,0.587411316,0.894979734
Rb1cc1,RB1-inducible coiled-coil 1,14690,1,6206196,6276648,5.185,5.22,4.86,5.299,0.106,5.152,0.295,0.587344852,0.894979734
Mtx1,metaxin 1,3584,3,89209080,89227088,5.387,5.182,5.261,5.133,0.09,5.245,0.294,0.587967055,0.895685537
Snrpd1,small nuclear ribonucleoprotein D1,837,18,10617795,10628230,6.01,6.046,6.07,5.799,0.088,5.986,0.293,0.588093407,0.895737112
Aaed1,AhpC/TSA antioxidant enzyme domain containing 1,972,13,64291835,64312710,3.98,3.951,3.677,4.014,0.11,3.915,0.292,0.588866068,0.896772921
Daxx,Fas death domain-associated protein,3058,17,33909413,33915589,5.998,6.08,6.182,6.052,-0.079,6.08,0.29,0.589932823,0.896986883
Dctn2,dynactin 2,1918,10,127266261,127281959,6.666,6.466,6.69,6.609,-0.08,6.611,0.291,0.589732549,0.896986883
Fis1,"fission, mitochondrial 1",1714,5,136953274,136966234,7.809,7.617,7.823,7.776,-0.084,7.759,0.292,0.589185252,0.896986883
Nosip,nitric oxide synthase interacting protein,2920,7,45062428,45078503,5.987,5.808,5.941,6.023,-0.083,5.943,0.291,0.589767518,0.896986883
Pigt,"phosphatidylinositol glycan anchor biosynthesis, class T",3856,2,164497519,164508301,7.395,7.222,7.273,7.183,0.083,7.271,0.291,0.589646186,0.896986883
Pigv,"phosphatidylinositol glycan anchor biosynthesis, class V",4180,4,133660386,133672647,4.467,4.359,4.322,4.32,0.093,4.37,0.291,0.589478757,0.896986883
Srebf2,sterol regulatory element binding factor 2,4989,15,82147265,82205376,8.567,8.516,8.522,8.394,0.082,8.501,0.291,0.589861897,0.896986883
Stk35,serine/threonine kinase 35,6195,2,129800516,129832287,3.683,3.917,3.666,3.732,0.106,3.757,0.291,0.589602738,0.896986883
Tacc3,"transforming, acidic coiled-coil containing protein 3",3551,5,33658127,33678995,5.248,5.509,5.514,4.94,0.129,5.322,0.291,0.589674375,0.896986883
Tmem8,transmembrane protein 8 (five membrane-spanning domains),3464,17,26113315,26123254,4.407,4.425,4.378,4.266,0.093,4.373,0.291,0.589599497,0.896986883
Plcl2,phospholipase C-like 2,4050,17,50509546,50688493,6.542,6.491,6.402,6.48,0.075,6.48,0.29,0.590376255,0.897379321
Xbp1,X-box binding protein 1,3248,11,5520658,5525893,8.516,8.735,8.513,8.574,0.086,8.588,0.29,0.590308529,0.897379321
Eif3g,"eukaryotic translation initiation factor 3, subunit G",1075,9,20894351,20898600,7.213,7.157,7.109,7.106,0.077,7.147,0.289,0.590658236,0.897442293
Evi5l,ecotropic viral integration site 5 like,8524,8,4166566,4211257,3.217,3.006,3.229,3.219,-0.109,3.176,0.289,0.5905488,0.897442293
Igkv4-61,,284,6,69416894,69417178,5.103,5.01,3.681,5.308,0.345,4.897,0.289,0.590715693,0.897442293
Pacsin2,protein kinase C and casein kinase substrate in neurons 2,3885,15,83375606,83464606,6.252,6.203,6.369,6.238,-0.077,6.267,0.289,0.590788375,0.897442293
Dhx40,DEAH (Asp-Glu-Ala-His) box polypeptide 40,4233,11,86768845,86807746,5.843,5.984,5.898,6.096,-0.085,5.959,0.289,0.590968486,0.897575097
Gpr19,G protein-coupled receptor 19,2637,6,134869092,134897925,2.462,2.257,2.142,2.809,-0.153,2.45,0.289,0.591167739,0.897596172
Rpl27,ribosomal protein L27,1535,11,101442297,101445529,3.676,3.422,3.468,3.423,0.109,3.505,0.289,0.591136298,0.897596172
Cdh17,cadherin 17,4474,4,11758146,11817895,4.666,4.852,3.731,5.003,0.259,4.641,0.288,0.591619221,0.897859354
D2Wsu81e,"DNA segment, Chr 2, Wayne State University 81, expressed",3010,2,30173452,30178459,4.08,4.073,4.261,4.083,-0.098,4.129,0.288,0.591538046,0.897859354
Lmf2,lipase maturation factor 2,2906,15,89351003,89355659,5.427,5.484,5.397,5.351,0.081,5.417,0.288,0.591595577,0.897859354
Bod1,biorientation of chromosomes in cell division 1,1644,11,31665180,31671885,3.507,3.587,3.385,3.5,0.104,3.501,0.287,0.591888254,0.898031465
Gabpa,"GA repeat binding protein, alpha",5687,16,84834924,84863779,6.301,6.391,6.513,6.333,-0.079,6.387,0.287,0.592010829,0.898031465
Lztr1,"leucine-zipper-like transcriptional regulator, 1",5445,16,17508687,17526333,5.45,5.23,5.301,5.21,0.088,5.302,0.287,0.591996607,0.898031465
D10Jhu81e,"DNA segment, Chr 10, Johns Hopkins University 81 expressed",1363,10,78162066,78169768,5.931,5.687,5.911,5.889,-0.086,5.858,0.287,0.592108666,0.898039205
Aasdh,aminoadipate-semialdehyde dehydrogenase,6287,5,76873658,76905514,3.168,2.988,3.108,3.269,-0.111,3.142,0.287,0.592325308,0.898162406
