genes,name,ExonLength,chr,chr_start,chr_end,WT_FoB_1_log2(cpm),WT_FoB_2_log2(cpm),DKO_FoB_1_log2(cpm),DKO_FoB_2_log2(cpm),DKO_FoB_3_log2(cpm),DKO_ABC_1_log2(cpm),DKO_ABC_2_log2(cpm),DKO_ABC_3_log2(cpm),logFC_1*WT_FoB -1*DKO_FoB,logCPM_1*WT_FoB -1*DKO_FoB,LR_1*WT_FoB -1*DKO_FoB,PValue_1*WT_FoB -1*DKO_FoB,FDR_1*WT_FoB -1*DKO_FoB,logFC_1*WT_FoB -1*DKO_ABC,logCPM_1*WT_FoB -1*DKO_ABC,LR_1*WT_FoB -1*DKO_ABC,PValue_1*WT_FoB -1*DKO_ABC,FDR_1*WT_FoB -1*DKO_ABC,logFC_1*DKO_FoB -1*DKO_ABC,logCPM_1*DKO_FoB -1*DKO_ABC,LR_1*DKO_FoB -1*DKO_ABC,PValue_1*DKO_FoB -1*DKO_ABC,FDR_1*DKO_FoB -1*DKO_ABC,ENTREZID
Ermard,ER membrane associated RNA degradation,6352,17,14978863,15064232,4.663,4.62,5.783,4.703,5.44,5.777,4.756,5.21,-0.734,5.198,3.331,0.067987817,0.157066929,-0.666,5.198,2.757,0.096843387,0.172754108,0.068,5.198,0.037,0.847353421,0.945936603,381062
Jkamp,JNK1/MAPK8-associated membrane protein,2692,12,72085588,72101461,4.663,4.788,4.202,4.71,4.154,4.349,4.713,4.44,0.349,4.524,1.49,0.222172242,0.365541527,0.217,4.524,0.575,0.448121943,0.564670772,-0.132,4.524,0.262,0.608555951,0.850550936,104771
Phlpp1,PH domain and leucine rich repeat protein phosphatase 1,6752,1,106171751,106394250,4.663,4.589,5.46,5.686,5.335,5.793,5.992,6.001,-0.875,5.527,14.407,0.000147218,0.001905755,-1.307,5.527,31.269,2.24665499459631e-08,4.95636101861322e-07,-0.432,5.527,4.722,0.029781851,0.168288725,98432
Rrp1b,ribosomal RNA processing 1 homolog B (S. cerevisiae),7702,17,32036099,32062865,4.663,4.391,5.45,4.997,5.714,5.338,4.998,5.32,-0.885,5.166,9.008,0.002688699,0.015689736,-0.694,5.166,5.607,0.017886919,0.045156755,0.19,5.166,0.556,0.455712781,0.764949017,72462
Ccnj,cyclin J,4355,19,40831278,40848572,4.66,4.7,5.21,4.075,4.117,4.596,3.756,4.151,0.113,4.477,0.072,0.788760715,0.861333258,0.474,4.477,1.279,0.25806903,0.371424053,0.361,4.477,0.91,0.340057558,0.686529055,240665
Cpne3,copine III,7131,4,19519253,19570108,4.66,4.806,6.05,6.442,6.278,6.087,6.541,6.543,-1.533,6.074,34.791,3.67075581150899e-09,3.63157113370593e-07,-1.674,6.074,41.007,1.51682997871261e-10,6.00498443627322e-09,-0.141,6.074,0.417,0.518565316,0.805076895,70568
Fbxo8,F-box protein 8,3740,8,56551089,56592393,4.66,4.738,4.664,4.933,4.519,4.732,4.933,4.62,-0.016,4.734,0.004,0.950387765,0.969995336,-0.069,4.734,0.071,0.789599729,0.850836397,-0.053,4.734,0.053,0.818259845,0.935894312,50753
Hgsnat,heparan-alpha-glucosaminide N-acetyltransferase,2679,8,25944458,25976744,4.66,4.821,4.401,4.684,4.228,5.082,5.345,5.052,0.293,4.828,1.275,0.258838644,0.407653233,-0.424,4.828,2.609,0.106236931,0.185429401,-0.717,4.828,9.446,0.00211651,0.022101952,52120
Idi1,isopentenyl-diphosphate delta isomerase,3505,13,8885500,8892451,4.66,5.079,5.123,5.769,6.288,4.173,4.889,4.633,-0.92,5.227,5.538,0.018605943,0.061365107,0.289,5.227,0.581,0.446054473,0.562556154,1.21,5.227,12.306,0.00045151,0.005965095,319554
Med10,mediator complex subunit 10,862,13,69809881,69816094,4.657,4.751,3.671,4.051,4.467,3.625,4.295,4.268,0.604,4.278,3.147,0.07606274,0.169710746,0.609,4.278,3.201,0.073602918,0.140080627,0.005,4.278,0,0.986413292,0.996063736,28077
Pdzd11,PDZ domain containing 11,2127,X,100622882,100626568,4.657,4.465,4.135,4.106,4.766,4.252,4.657,4.481,0.194,4.462,0.396,0.529317655,0.66423275,0.091,4.462,0.086,0.768981684,0.835282438,-0.103,4.462,0.139,0.708909652,0.89454091,72621
Ddb2,damage specific DNA binding protein 2,2736,2,91211571,91236982,4.654,4.517,5.236,3.711,3.538,3.766,2.158,2.195,0.211,4.057,0.107,0.743595866,0.829406427,1.681,4.057,6.851,0.008861197,0.025640911,1.47,4.057,6.146,0.013172886,0.090943184,107986
Lap3,leucine aminopeptidase 3,3072,5,45493373,45512674,4.654,4.856,5.04,5.397,5.73,5.675,6.138,5.901,-0.66,5.508,5.422,0.019883348,0.064619485,-1.16,5.508,16.221,5.63526405899012e-05,0.000415722,-0.5,5.508,4.086,0.043242062,0.219920035,66988
Pxmp4,peroxisomal membrane protein 4,3114,2,154585757,154603708,4.654,4.67,4.125,4.502,4.044,4.518,4.915,4.461,0.425,4.514,2.285,0.130605879,0.250465155,0.016,4.514,0.003,0.955864184,0.969790238,-0.409,4.514,2.611,0.106157857,0.384576881,59038
Rpe,ribulose-5-phosphate-3-epimerase,3113,1,66700830,66719805,4.654,4.856,5.164,5.751,5.858,5.4,6.183,5.901,-0.865,5.559,7.098,0.007716172,0.033240737,-1.107,5.559,11.424,0.000724907,0.003410632,-0.242,5.559,0.737,0.390508908,0.725069777,66646
Igkv5-48,immunoglobulin kappa variable 5-48,347,6,69726572,69727125,4.65,5.02,3.892,4.648,4.532,6.226,5.744,6.164,0.453,5.327,2.2,0.137966321,0.260560476,-1.213,5.327,14.585,0.000133942,0.000856207,-1.666,5.327,35.327,2.78692408162589e-09,1.40073227754762e-07,619846
Matk,megakaryocyte-associated tyrosine kinase,4594,10,81252934,81263365,4.65,3.997,4.359,3.031,2.544,5.23,3.784,3.194,0.84,4.089,1.511,0.219053321,0.36226844,0.029,4.089,0.002,0.966734541,0.977045925,-0.811,4.089,1.696,0.1928535,0.530108018,17179
Mtif2,mitochondrial translational initiation factor 2,3868,11,29526407,29545279,4.65,4.532,5.155,4.441,5.117,5.095,4.588,4.976,-0.347,4.848,1.242,0.26511157,0.413971881,-0.309,4.848,0.988,0.320161543,0.439270061,0.038,4.848,0.019,0.891164893,0.961797025,76784
Zfp429,zinc finger protein 429,2134,13,67389308,67399767,4.65,4.729,4.285,4.593,4.219,4.289,4.572,4.38,0.315,4.479,1.475,0.224592584,0.368335232,0.271,4.479,1.087,0.297159593,0.414274589,-0.044,4.479,0.036,0.849078363,0.946422319,72807
Bcdin3d,BCDIN3 domain containing,1271,15,99470083,99474730,4.644,4.748,3.367,3.519,3.151,3.061,2.852,2.774,1.347,3.717,22.257,2.38522287732168e-06,7.96912614504007e-05,1.805,3.717,39.126,3.9730557667965e-10,1.43079516087749e-08,0.457,3.717,2.958,0.085443059,0.337715806,75284
Ifrd1,interferon-related developmental regulator 1,5858,12,40201566,40248504,4.644,4.664,4.508,4.525,4.963,4.453,3.797,4.314,-0.029,4.519,0.009,0.92448286,0.952922145,0.442,4.519,2.157,0.14196381,0.232405197,0.471,4.519,3.008,0.082875042,0.331973052,15982
Znrf1,zinc and ring finger 1,7018,8,111536096,111626030,4.644,4.697,4.64,3.736,3.805,4.308,3.266,2.967,0.551,4.135,1.423,0.232969427,0.377823593,1.042,4.135,5.102,0.023903588,0.057033121,0.491,4.135,1.367,0.242276032,0.592868529,170737
Zscan21,zinc finger and SCAN domain containing 21,3198,5,138116902,138134265,4.644,4.383,4.217,4.397,4.1,3.931,4.181,3.811,0.277,4.233,1.026,0.311093164,0.46397071,0.537,4.233,3.876,0.048975507,0.100685907,0.261,4.233,1.116,0.290687641,0.645352244,22697
Blcap,bladder cancer associated protein,3043,2,157556361,157571274,4.641,4.876,3.91,4.438,3.979,4.142,4.199,3.995,0.635,4.314,5.1,0.023923188,0.073747214,0.65,4.314,5.343,0.020804254,0.050985197,0.015,4.314,0.004,0.952415113,0.984346778,53619
Dhrs4,dehydrogenase/reductase (SDR family) member 4,1390,14,55478757,55490338,4.641,4.791,4.212,4.391,4.183,4.105,4.614,4.118,0.453,4.407,2.67,0.102242709,0.210242993,0.418,4.407,2.269,0.131967128,0.219415009,-0.035,4.407,0.02,0.888025388,0.961196019,28200
Igkv4-57,,350,6,69575976,69576500,4.641,4.812,3.698,4.59,4.107,5.611,6.834,5.637,0.551,5.325,1.631,0.20154819,0.341426887,-1.421,5.325,9.738,0.001804742,0.007113134,-1.972,5.325,24.062,9.32712987818921e-07,2.64917988677807e-05,235952
Klhl12,kelch-like 12,6555,1,134455530,134491018,4.641,4.687,4.501,4.656,4.729,4.232,4.295,4.455,0.032,4.538,0.017,0.897182453,0.934699816,0.333,4.538,1.871,0.171388421,0.269998656,0.302,4.538,1.899,0.168179704,0.493691564,240756
Mtr,5-methyltetrahydrofolate-homocysteine methyltransferase,4482,13,12186541,12258113,4.641,4.64,5.468,5.404,5.525,5.402,5.174,5.54,-0.827,5.266,12.639,0.000377763,0.003835308,-0.74,5.266,10.165,0.001431456,0.00587629,0.087,5.266,0.186,0.665943456,0.878217966,238505
Ndufaf7,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor 7,2303,17,78937134,78948052,4.641,4.709,3.915,4.075,4.459,3.989,4.631,4.336,0.507,4.378,2.77,0.096060002,0.201059863,0.331,4.378,1.183,0.276832453,0.392179309,-0.175,4.378,0.405,0.524311721,0.808404001,73694
Rtn4ip1,reticulon 4 interacting protein 1,3135,10,43901806,43947862,4.641,4.63,4.664,4.306,4.946,4.766,4.412,4.709,-0.027,4.649,0.009,0.92316366,0.951901874,-0.001,4.649,0,0.99695553,0.998077936,0.026,4.649,0.011,0.917313721,0.97253887,170728
Ghdc,GH3 domain containing,2692,11,100766031,100770957,4.637,4.603,3.944,4.204,3.006,4.203,4.092,3.667,0.821,4.124,4.572,0.032491623,0.092219381,0.617,4.124,2.579,0.108288979,0.188243699,-0.204,4.124,0.342,0.558754699,0.826475424,80860
Usp8,ubiquitin specific peptidase 8,4193,2,126707327,126759297,4.637,4.557,5.78,5.699,5.742,5.624,5.757,5.859,-1.144,5.534,27.702,1.41552895355046e-07,7.79214985859206e-06,-1.154,5.534,28.155,1.11950669160395e-07,2.02351805616971e-06,-0.01,5.534,0.003,0.957847079,0.986345291,84092
Ell2,elongation factor RNA polymerase II 2,3647,13,75707483,75772356,4.634,4.553,5.834,5.948,6.445,6.803,7.04,6.946,-1.509,6.279,32.127,1.44389413961996e-08,1.09811949039518e-06,-2.341,6.279,71.87,2.29808106415057e-17,3.08904850018379e-15,-0.832,6.279,13.678,0.00021697,0.003191066,192657
Rbm19,RNA binding motif protein 19,2963,5,120116509,120197979,4.634,4.55,4.898,5.106,5.086,4.565,4.487,4.649,-0.442,4.769,3.471,0.062442651,0.147978075,0.024,4.769,0.011,0.918329434,0.944306018,0.466,4.769,4.944,0.026180715,0.153863278,74111
Rnf19a,ring finger protein 19A,4276,15,36239933,36283147,4.634,4.539,5.069,5.077,5.283,4.829,4.763,4.778,-0.56,4.893,5.781,0.016200188,0.055803932,-0.203,4.893,0.767,0.381168412,0.500506718,0.358,4.893,3.055,0.080499294,0.326173093,30945
Zxdc,ZXD family zinc finger C,8564,6,90369491,90403490,4.634,4.794,4.685,4.588,4.577,4.514,4.566,4.733,0.099,4.642,0.173,0.677434321,0.783233537,0.108,4.642,0.204,0.651413454,0.74391834,0.009,4.642,0.002,0.968030152,0.990478719,80292
9530082P21Rik,RIKEN cDNA 9530082P21 gene,4842,17,23743233,23754065,4.631,4.55,3.488,3.519,3.533,3.704,3.485,3.925,1.08,3.933,15.554,8.01762796855703e-05,0.001216323,0.877,3.933,10.292,0.001336209,0.005548338,-0.202,3.933,0.653,0.419010669,0.746511427,638247
Cep164,centrosomal protein 164,5980,9,45766945,45828691,4.631,4.553,5.537,4.823,5.67,5.842,5.137,5.566,-0.797,5.296,5.58,0.018162964,0.060299793,-0.951,5.296,7.872,0.005020429,0.016116678,-0.155,5.296,0.278,0.598167313,0.846573719,214552
Chpf,chondroitin polymerizing factor,3856,1,75474568,75479307,4.631,4.617,4.55,4.684,4.292,5.468,5.717,4.278,0.106,4.874,0.069,0.792601729,0.864302989,-0.653,4.874,2.52,0.112380463,0.193695863,-0.759,4.874,4.376,0.036445328,0.194677028,74241
Dnajc16,DnaJ heat shock protein family (Hsp40) member C16,6510,4,141760188,141790931,4.631,4.553,5.323,4.986,4.917,5.567,5.3,5.433,-0.494,5.132,3.971,0.046287726,0.119093282,-0.845,5.132,11.434,0.000721034,0.003397942,-0.352,5.132,2.627,0.105088858,0.381901035,214063
Nmt2,N-myristoyltransferase 2,6556,2,3284211,3328877,4.631,4.797,5.082,4.634,5.033,4.526,4.32,4.689,-0.214,4.736,0.633,0.426099889,0.573936604,0.197,4.736,0.543,0.460994846,0.576929784,0.411,4.736,2.945,0.086132835,0.339364543,18108
Klhl14,kelch-like 14,4425,18,21550376,21654718,4.627,4.55,4.12,4.098,3.862,3.452,3.829,4.268,0.56,4.15,3.218,0.072847245,0.16461953,0.7,4.15,5.035,0.024846333,0.058941845,0.14,4.15,0.245,0.620630331,0.856238541,225266
Sos2,son of sevenless homolog 2 (Drosophila),6270,12,69583761,69681852,4.627,4.469,5.489,5.399,5.441,5.686,5.48,5.815,-0.894,5.367,15.111,0.000101394,0.001439145,-1.118,5.367,23.277,1.40293267715914e-06,1.7551841718571e-05,-0.223,5.367,1.27,0.25977493,0.613467369,20663
Churc1,churchill domain containing 1,5693,12,76765537,76783180,4.624,4.885,3.496,4.545,4.093,3.33,4.436,4.107,0.653,4.279,2.483,0.115108894,0.229226324,0.732,4.279,3.122,0.077251507,0.145420522,0.079,4.279,0.044,0.833418397,0.940221977,211151
Ppm1l,protein phosphatase 1 (formerly 2C)-like,9909,3,69316860,69560802,4.624,4.37,4.405,4.748,4.055,3.989,4.266,4.557,0.073,4.402,0.053,0.817789051,0.880883472,0.213,4.402,0.452,0.501501397,0.613009715,0.14,4.402,0.242,0.622856751,0.857523414,242083
Tmem108,transmembrane protein 108,8643,9,103482946,103761837,4.624,4.806,2.926,3.736,3.013,-0.549,0.017,1.065,1.448,3.42,9.527,0.002024494,0.012758705,4.411,3.42,72.215,1.92977442678828e-17,2.72051126508201e-15,2.962,3.42,38.738,4.84582097289264e-10,3.04152901155874e-08,81907
Anapc15,anaphase prompoting complex C subunit 15,4737,7,101881324,101901845,4.621,4.543,4,3.997,4.713,3.912,4.174,4.2,0.303,4.304,0.925,0.336146848,0.489217873,0.481,4.304,2.331,0.126811762,0.212985406,0.178,4.304,0.39,0.53207589,0.811905631,75430
H2-K2,,1049,17,33974830,33978790,4.621,4.422,5.118,2.417,3.151,4.796,1.442,3.507,0.499,4.097,0.293,0.588057029,0.713741775,0.725,4.097,0.622,0.430243902,0.54787613,0.226,4.097,0.074,0.786017341,0.922566804,630499
Itgb3,integrin beta 3,5901,11,104607999,104670476,4.621,4.422,5.733,5.178,6.41,4.502,4.902,4.91,-1.339,5.246,12.245,0.000466448,0.004460815,-0.26,5.246,0.494,0.482302834,0.595664611,1.079,5.246,10.689,0.001077977,0.012625543,16416
Rbl1,retinoblastoma-like 1 (p107),5993,2,157145892,157204534,4.621,4.741,5.919,5.677,6.634,5.561,5.62,5.887,-1.456,5.709,19.326,1.10202435425851e-05,0.000264303,-1.016,5.709,9.729,0.001813529,0.007140463,0.44,5.709,2.453,0.117277202,0.407736677,19650
Rhob,ras homolog family member B,2223,12,8497762,8499985,4.621,4.674,3.838,4.582,4.755,6.055,5.27,5.134,0.203,5,0.288,0.591439201,0.716370197,-0.899,5,5.338,0.020866542,0.051105345,-1.102,5,10.362,0.001286661,0.014697435,11852
Trp53bp2,transformation related protein 53 binding protein 2,4361,1,182409171,182462432,4.621,4.582,4.748,4.574,4.289,5.188,5.012,4.986,0.054,4.779,0.046,0.830790189,0.889747506,-0.464,4.779,3.287,0.069847565,0.13448332,-0.518,4.779,5.245,0.022015074,0.135585645,209456
Wbp5,WW domain binding protein 5,1037,X,136245078,136247139,4.621,4.617,4.188,4.49,5.196,4.845,5.247,4.912,-0.072,4.806,0.044,0.833737521,0.89207754,-0.395,4.806,1.318,0.25088635,0.36334831,-0.323,4.806,1.13,0.287837196,0.642793509,22381
Zfp668,zinc finger protein 668,4655,7,127865169,127876828,4.621,4.535,4.45,4.741,3.89,4.419,4,3.899,0.178,4.356,0.289,0.590968712,0.716250609,0.457,4.356,1.917,0.166191033,0.263534752,0.279,4.356,0.878,0.348625354,0.694487178,244219
Fam86,,2649,16,5244151,5255983,4.617,4.535,4.01,4.118,3.616,3.683,3.86,3.636,0.649,4.062,5.352,0.020699439,0.066486667,0.849,4.062,9.14,0.002500427,0.009237757,0.2,4.062,0.61,0.434606951,0.755394714,NA
Krba1,KRAB-A domain containing 1,9314,6,48395585,48419855,4.617,4.543,5.048,3.833,4.196,3.995,2.173,3.235,0.13,4.166,0.058,0.809620264,0.874529083,1.272,4.166,5.665,0.017311477,0.044089155,1.142,4.166,5.421,0.019891452,0.125106194,77827
Pde4dip,phosphodiesterase 4D interacting protein (myomegalin),16508,3,97689823,97888707,4.617,4.722,5.881,5.565,5.705,6.317,5.87,5.946,-1.053,5.678,17.975,2.23864731641739e-05,0.000456708,-1.388,5.678,30.495,3.34698456171905e-08,6.99245381857857e-07,-0.335,5.678,2.473,0.115850067,0.404735481,83679
Tprn,taperin,2932,2,25262617,25269885,4.617,4.667,3.776,4.137,3.731,3.572,3.952,3.687,0.751,4.078,7.095,0.007731108,0.033260741,0.897,4.078,10.117,0.001468728,0.006010087,0.146,4.078,0.325,0.568848777,0.830918861,97031
Vrk2,vaccinia related kinase 2,6591,11,26471321,26593999,4.617,4.379,4.372,4.562,5.065,4.427,4.735,4.833,-0.196,4.646,0.416,0.519124241,0.656932264,-0.174,4.646,0.326,0.567822591,0.672268451,0.022,4.646,0.007,0.933954664,0.978234148,69922
Zfp64,zinc finger protein 64,5918,2,168893330,168955587,4.617,4.561,4.368,4.407,4.237,4.629,4.58,3.966,0.251,4.439,0.757,0.384308513,0.535964098,0.169,4.439,0.344,0.557633926,0.66339901,-0.082,4.439,0.099,0.752946795,0.909463012,22722
1110059G10Rik,RIKEN cDNA 1110059G10 gene,3361,9,122945088,122951000,4.614,4.69,4.058,4.222,4.183,3.972,4.301,4.129,0.497,4.295,3.815,0.050797449,0.127424733,0.512,4.295,4.048,0.044221684,0.093149174,0.015,4.295,0.004,0.947761407,0.982435605,66202
Tiparp,TCDD-inducible poly(ADP-ribose) polymerase,3985,3,65528409,65555145,4.614,4.815,4.95,5.046,4.978,5.01,4.974,5.147,-0.275,4.952,1.425,0.232551954,0.377305346,-0.328,4.952,2.028,0.154455833,0.248990298,-0.053,4.952,0.069,0.792892802,0.924597944,99929
Zfp275,zinc finger protein 275,6745,X,73342620,73359080,4.614,4.564,5.7,5.357,4.939,5.324,4.927,4.875,-0.776,5.087,6.515,0.010699413,0.041670161,-0.467,5.087,2.4,0.121302193,0.205968713,0.309,5.087,1.358,0.243817704,0.595380791,27081
Agpat9,1-acylglycerol-3-phosphate O-acyltransferase 9,3502,5,100845712,100899102,4.611,4.637,3.441,4.102,3.254,1.297,2.173,2.793,0.98,3.659,4.613,0.031734407,0.090714577,2.417,3.659,26.909,2.13250360594099e-07,3.50664888828988e-06,1.437,3.659,11.324,0.000765266,0.009421161,231510
AI846148,expressed sequence AI846148,3183,19,7356463,7383026,4.611,4.61,4.069,3.972,3.994,3.937,3.718,3.652,0.6,4.115,5.494,0.019085021,0.062481689,0.84,4.115,10.739,0.001049068,0.004581497,0.24,4.115,1.058,0.303576126,0.655126055,68229
Mbnl2,muscleblind-like 2,4552,14,120275668,120431697,4.611,4.568,5.647,5.634,5.281,5.626,5.696,6.019,-0.942,5.465,14.099,0.000173416,0.002130384,-1.203,5.465,22.631,1.96313188063209e-06,2.35902334096746e-05,-0.262,5.465,1.467,0.225765357,0.573168987,105559
Tbxa2r,thromboxane A2 receptor,1763,10,81328731,81335171,4.611,4.735,3.392,4.229,2.733,3.104,3.213,2.354,1.096,3.784,5.493,0.019091719,0.062485921,1.744,3.784,13.718,0.000212375,0.001244955,0.647,3.784,2.272,0.131706804,0.433691554,21390
Thg1l,tRNA-histidine guanylyltransferase 1-like (S. cerevisiae),3015,11,45946842,45955494,4.611,4.63,4.235,4.271,4.496,4.029,4.441,4.268,0.281,4.389,1.149,0.283846456,0.435701107,0.363,4.389,1.919,0.165928683,0.263227058,0.082,4.389,0.121,0.727923296,0.90113443,66628
Zbtb43,zinc finger and BTB domain containing 43,5225,2,33450286,33468559,4.611,4.51,5.391,5.245,4.633,4.829,4.846,4.57,-0.563,4.866,3.572,0.058772341,0.141750107,-0.193,4.866,0.424,0.51484723,0.6243191,0.371,4.866,2.002,0.157137702,0.47573584,71834
1110012L19Rik,RIKEN cDNA 1110012L19 gene,1094,X,70385876,70389417,4.607,4.582,3.324,4.174,3.444,3.493,4.43,3.692,0.897,4.06,5.184,0.022790941,0.071206292,0.664,4.06,2.837,0.092132775,0.166414825,-0.233,4.06,0.424,0.514949307,0.803382031,68618
Igkv2-109,,364,6,68302438,68303160,4.607,4.994,3.473,4.435,4.137,5.004,4.691,5.788,0.745,4.783,3.334,0.067865138,0.156966985,-0.425,4.783,1.042,0.307349781,0.425504607,-1.17,4.783,9.821,0.001725128,0.018690239,628268
Mrpl22,mitochondrial ribosomal protein L22,981,11,58171660,58179565,4.607,4.637,3.496,4.257,3.997,3.236,3.919,3.667,0.672,4.058,3.997,0.045574651,0.11780925,0.988,4.058,8.643,0.003283207,0.011488358,0.316,4.058,1.07,0.300945051,0.653295875,216767
Rgs3,regulator of G-protein signaling 3,10801,4,62559846,62704001,4.607,4.287,4.64,4.385,4.034,5.94,5.814,5.732,0.085,5.115,0.099,0.752584361,0.83564261,-1.377,5.115,24.384,7.89346265972582e-07,1.08114251595297e-05,-1.461,5.115,36.312,1.68150432496602e-09,8.67776339134251e-08,50780
2210015D19Rik,,3102,11,5762128,5784710,4.604,4.603,3.593,3.893,3.538,3.427,3.473,3.321,0.922,3.899,11.5,0.000695883,0.005982802,1.199,3.899,19.292,1.12196117451076e-05,0.00010536,0.276,3.899,1.222,0.269021007,0.621479385,NA
Amz2,archaelysin family metallopeptidase 2,5584,11,109425945,109452813,4.604,4.564,4.032,4.014,5.256,2.923,3.562,3.731,0.024,4.247,0.003,0.95744532,0.97481662,1.14,4.247,6.537,0.010564782,0.029585485,1.116,4.247,7.458,0.006315044,0.052259362,13929
Dnajc1,DnaJ heat shock protein family (Hsp40) member C1,11651,2,18195653,18392830,4.604,4.35,4.751,4.372,4.616,5.018,5.095,5.324,-0.105,4.807,0.163,0.686164913,0.789103302,-0.671,4.807,6.553,0.010473221,0.02940744,-0.566,4.807,6.064,0.013799517,0.093947239,13418
Fbxo32,F-box protein 32,6936,15,58175878,58214892,4.604,4.561,4.212,4.302,3.548,3.96,4.051,3.899,0.528,4.182,2.989,0.083851929,0.182067675,0.612,4.182,4.026,0.044809961,0.094131047,0.085,4.182,0.094,0.759665241,0.911662061,67731
Jade1,jade family PHD finger 1,5950,3,41555733,41616862,4.604,4.446,5.357,5.679,5.496,4.651,4.512,4.966,-0.992,5.04,14.29,0.000156724,0.001986547,-0.196,5.04,0.581,0.445869268,0.562445301,0.795,5.04,12.163,0.000487397,0.006395359,269424
Rngtt,RNA guanylyltransferase and 5'-phosphatase,7094,4,33310310,33502614,4.604,4.741,4.907,5.261,5.361,4.698,5.043,5.154,-0.517,4.997,3.674,0.055274809,0.13548396,-0.305,4.997,1.293,0.255510678,0.368475977,0.212,4.997,0.798,0.371639919,0.712227697,24018
Rrad,Ras-related associated with diabetes,1575,8,104628065,104631321,4.604,4.893,3.95,5.112,3.349,4.402,4.829,3.432,0.429,4.451,0.599,0.438809189,0.584968481,0.427,4.451,0.591,0.441930681,0.558818494,-0.003,4.451,0,0.995428488,0.998308097,56437
Snhg6,small nucleolar RNA host gene 6,1146,1,9941958,9944118,4.604,4.287,4.226,3.648,3.621,3.931,3.807,3.115,0.598,3.972,2.774,0.095794809,0.200712633,0.799,3.972,4.954,0.026033633,0.061218225,0.201,3.972,0.38,0.537845159,0.81508943,73824
1300002E11Rik,RIKEN cDNA 1300002E11 gene,3955,16,21794346,21809037,4.601,4.472,4.462,4.014,3.886,3.995,3.761,3.797,0.399,4.161,1.911,0.166804802,0.298631486,0.686,4.161,5.663,0.017322265,0.044104152,0.287,4.161,1.207,0.271911966,0.623387999,100043489
Ahcy,S-adenosylhomocysteine hydrolase,2805,2,155059309,155074497,4.601,4.76,4.037,4.441,4.878,4.188,4.606,4.235,0.188,4.498,0.346,0.55626767,0.686435959,0.327,4.498,1.05,0.305418233,0.423185278,0.139,4.498,0.235,0.628116044,0.859702558,269378
Gdap2,ganglioside-induced differentiation-associated-protein 2,3507,3,100162380,100206981,4.601,4.725,4.792,4.98,4.978,5.301,5.538,5.502,-0.256,5.094,1.229,0.267675378,0.416912877,-0.788,5.094,11.341,0.000758297,0.003538924,-0.532,5.094,6.793,0.009153168,0.069122357,14547
Glrx2,glutaredoxin 2 (thioltransferase),8707,1,143716337,143749676,4.601,4.8,4.422,4.098,4.134,4.34,4.542,4.386,0.481,4.435,3.51,0.06099893,0.145500099,0.278,4.435,1.171,0.279189099,0.394888779,-0.203,4.435,0.766,0.38156597,0.720599047,69367
Zfp280b,zinc finger protein 280B,5097,10,76032653,76043234,4.601,4.703,5.404,4.941,5.539,5.864,5.251,5.306,-0.665,5.258,4.829,0.027981246,0.082558245,-0.848,5.258,7.772,0.005305386,0.016867508,-0.184,5.258,0.483,0.487247911,0.785559317,64453
Arrdc2,arrestin domain containing 2,2329,8,70835154,70839720,4.597,4.61,4.13,3.391,2.632,4.152,2.743,2.925,1.098,3.846,4.144,0.041780696,0.110700172,1.192,3.846,4.877,0.027214146,0.063528983,0.094,3.846,0.036,0.848565522,0.94630691,70807
Mrrf,mitochondrial ribosome recycling factor,2853,2,36136388,36190647,4.597,4.806,3.782,4.484,4.527,3.564,4.327,4.238,0.402,4.345,1.313,0.251778964,0.40004716,0.623,4.345,3.168,0.07509392,0.142309134,0.221,4.345,0.488,0.484785748,0.783758084,67871
Rspry1,ring finger and SPRY domain containing 1,6425,8,94601954,94660275,4.597,4.876,5.355,5.653,5.348,5.343,5.658,5.614,-0.717,5.349,8.406,0.003739563,0.019848183,-0.803,5.349,10.495,0.001196678,0.005093371,-0.086,5.349,0.161,0.68861059,0.887795532,67610
